bin_low,bin_high,number_residues,mean_rsa_monomer,mean_rsa_complex
0.0,0.0,38522,0.022092764323896376,0.0
0.0,0.05,45792,0.06735929605180284,0.021311857116703505
0.05,0.1,24524,0.13184647977370564,0.07316398039964558
0.1,0.15000000000000002,18728,0.17928011864174512,0.12456393506384261
0.15000000000000002,0.2,16245,0.2286896077310484,0.17542286535584437
0.2,0.25,14187,0.2750885271584659,0.22507417460349555
0.25,0.30000000000000004,13433,0.3191627458251542,0.2748796320172724
0.30000000000000004,0.35000000000000003,12682,0.3638183162233963,0.32539387532252484
0.35000000000000003,0.4,12785,0.4088533040047881,0.3753366240798671
0.4,0.45,11501,0.4545639638690694,0.4254062600363305
0.45,0.5,11506,0.49815771089612904,0.4754047044065068
0.5,0.55,10462,0.5452064770754778,0.525871732690896
0.55,0.6000000000000001,9622,0.5928788507950888,0.5752674001234224
0.6000000000000001,0.65,8396,0.640388911535323,0.6252809243766183
0.65,0.7000000000000001,7255,0.6874992192875093,0.6746779300898631
0.7000000000000001,0.75,6437,0.7339779213169287,0.7243716913275985
0.75,0.8,5183,0.7821540387481604,0.7750682482638623
0.8,0.8500000000000001,4081,0.8322434622172215,0.824878458778983
0.8500000000000001,0.9,3360,0.8798716237893535,0.8746831347923787
0.9,0.9500000000000001,2502,0.9284484069001901,0.9247573683401781
0.9500000000000001,1.0,4889,0.9917975671023905,0.9913540909901176
