bin_low,bin_high,number_residues,mean_rsa_monomer,mean_rsa_complex
0.0,0.0,34904,0.0,0.0
0.0,0.05,38253,0.021011305942808856,0.021011305942808856
0.05,0.1,19725,0.07311577400168418,0.07311577400168418
0.1,0.15000000000000002,15209,0.1245678245897398,0.1245678245897398
0.15000000000000002,0.2,13211,0.175638266365287,0.175638266365287
0.2,0.25,11604,0.2252812339497052,0.2252812339497052
0.25,0.30000000000000004,11099,0.2748206334888565,0.2748206334888565
0.30000000000000004,0.35000000000000003,10700,0.3254651309524218,0.3254651309524218
0.35000000000000003,0.4,10911,0.3754519670004362,0.3754519670004362
0.4,0.45,9964,0.4254840807366818,0.4254840807366818
0.45,0.5,10173,0.47543281348782396,0.47543281348782396
0.5,0.55,9340,0.525975761430499,0.525975761430499
0.55,0.6000000000000001,8608,0.5752206990144595,0.5752206990144595
0.6000000000000001,0.65,7582,0.625381337085344,0.625381337085344
0.65,0.7000000000000001,6625,0.674649534910486,0.674649534910486
0.7000000000000001,0.75,5919,0.7243960890195072,0.7243960890195072
0.75,0.8,4857,0.7751058672744094,0.7751058672744094
0.8,0.8500000000000001,3778,0.824922693727614,0.824922693727614
0.8500000000000001,0.9,3142,0.8745884064526869,0.8745884064526869
0.9,0.9500000000000001,2336,0.9249277588184022,0.9249277588184022
0.9500000000000001,1.0,4799,0.9917173191726797,0.9917173191726797
