PDB_ID,Download_status
1di8,OK
3tzc,counts
5bpl,OK
6m90,counts
5mj6,OK
5mp8,OK
4l3j,OK
3owo,OK
1n8p,OK
3g6w,OK
6moi,OK
5qqf,counts
4jq9,OK
1g58,OK
3pep,OK
4v4h,failed_download
1xmo,OK
4grx,OK
4qa5,OK
5tqm,OK
3n5m,OK
3ich,OK
6hxg,counts
7icd,OK
1k49,OK
2hsd,OK
4kc9,counts
3aev,OK
1bye,OK
3zkv,counts
1i6m,OK
5l5v,OK
2h4j,OK
4xzl,OK
3abm,OK
6ucs,counts
5lcl,OK
3wc5,OK
5kcz,OK
4m5p,OK
3s2p,OK
4kb4,OK
1ndz,OK
4gj5,OK
3zkx,OK
5uoj,OK
1ubs,OK
3u8x,OK
3blr,OK
2ghm,OK
2zqs,OK
3quc,OK
4u1d,OK
6i06,OK
6cq2,OK
4d4k,OK
1yzl,OK
3nyq,OK
6hft,OK
1go3,counts
1yhq,OK
5u63,OK
2h8z,OK
2b2f,OK
1o6q,OK
4czt,OK
6fdm,OK
5kpi,OK
2dxd,OK
5vwn,counts
6am0,OK
3mau,OK
2j17,OK
2w6e,OK
4g1v,OK
6cyt,OK
2r3r,OK
1k0b,OK
3v60,OK
5yln,OK
3olj,OK
6od8,counts
1qap,OK
2occ,OK
4nyj,OK
3kxq,OK
6jix,OK
4u5n,OK
5n66,OK
3nmv,OK
2qlt,OK
2wzb,OK
3qtg,OK
4asj,OK
1j9z,OK
2vtq,OK
6isi,counts
4i3y,OK
5hln,OK
3fey,OK
6hle,OK
1i7s,OK
5exw,OK
3o48,OK
1ihi,OK
5b53,OK
5vnn,OK
5xux,OK
2pgf,OK
6h7o,OK
5dvr,counts
5nge,counts
2vum,OK
5mzh,OK
3zke,OK
5jtt,OK
3l2p,OK
4cfu,OK
5ylu,OK
4rxc,OK
5uqx,OK
1gdd,OK
1n0u,OK
4bnz,OK
4a4c,counts
6m7k,OK
3l4i,OK
2wnt,counts
1mf8,OK
4anf,OK
5v7p,OK
4pmj,OK
1doz,OK
4ny3,OK
4e77,OK
1n4p,OK
3ue5,OK
4dlw,OK
4kb3,OK
2wk7,OK
4dlu,OK
1hnx,OK
2c38,OK
1wur,OK
5ael,OK
1ar5,OK
2zr6,OK
2pb5,OK
3l0g,OK
1zar,OK
6hyq,OK
9ldt,OK
4ydr,OK
3a9k,OK
1c3o,OK
2oox,OK
3hkm,OK
6oir,OK
1ahr,OK
6vdh,OK
2hta,OK
1dqx,OK
4bd9,OK
3gu7,OK
3re0,OK
1urn,OK
1gra,OK
5ncv,OK
3q9z,OK
3ovv,counts
2fie,OK
1kae,OK
6hgr,OK
6b8q,OK
3a9v,OK
2c3b,OK
2ot3,counts
2x8a,counts
3tqs,OK
6hbn,OK
1sds,counts
3new,OK
4v0v,OK
3v38,OK
1bbs,OK
1twa,OK
4dr2,OK
2uz1,OK
5vjn,OK
3pxz,OK
6kik,OK
1sj3,OK
1kj9,OK
6aoo,OK
6hu1,OK
4d7d,OK
6a6g,OK
4cw7,OK
1ndi,OK
5v1a,OK
6e23,OK
5ah5,OK
5w83,OK
6d5g,OK
1sky,OK
4fkw,OK
5h0t,OK
2vmt,OK
3pnv,OK
4rqe,counts
1qxs,OK
5wp1,OK
4iju,OK
4hz4,OK
5moc,OK
4ny4,OK
3k0t,OK
5v4d,OK
5zea,OK
3ldw,counts
3ci5,OK
1s0a,OK
1vbn,OK
3hdn,OK
6kms,OK
4iai,OK
6a13,OK
1vc6,OK
5nro,OK
1mly,OK
1v98,OK
5xmp,OK
6q4n,OK
2qrp,OK
4x84,OK
1k4t,OK
5jxg,OK
4qwl,OK
2z7l,failed_download
4z1m,OK
4kyo,OK
4q3s,OK
1szg,OK
1c29,OK
5u5x,OK
1pkp,OK
3l7x,counts
3aa6,OK
3d3f,OK
4nax,OK
6bcd,OK
2rga,OK
3dz2,OK
4qnh,OK
5ms2,OK
1kog,OK
3fu3,OK
5jbq,OK
5j5c,counts
4bj1,counts
1csn,OK
1nj2,OK
1upk,OK
4qz5,OK
3ozv,OK
3enn,OK
